department_name,rank,product_name,product_link,product_image_link,product_reviews_link,product_ratings,product_ratings_count,product_price
Amazon Launchpad,1.,Watch Ya' Mouth Family Edition - The...,https://www.amazon.com/Watch-Ya-Mouth-Family-Mouthguard/dp/B01IWALX00/ref=zg_bs_boost_1,https://images-na.ssl-images-amazon.com/images/I/51%2B4X9GWtXL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01IWALX00/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,3.9 out of 5 stars,1286,$19.99
Amazon Launchpad,2.,SmartyPants Kids Complete Gummy Vitam...,https://www.amazon.com/SmartyPants-Kids-Complete-Gummy-Vitamins/dp/B004QQ9LVS/ref=zg_bs_boost_2,https://images-na.ssl-images-amazon.com/images/I/51sMruhKOlL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B004QQ9LVS/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,2302,$17.95
Amazon Launchpad,3.,Joking Hazard,https://www.amazon.com/Joking-Hazard-LLC-JHUS0000/dp/B01IA9R2TY/ref=zg_bs_boost_3,https://images-na.ssl-images-amazon.com/images/I/41nwNFZY-iL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01IA9R2TY/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.8 out of 5 stars,343,$25.00
Amazon Launchpad,4.,TubShroom The Revolutionary Tub Drain...,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/dp/B01BYMTYBS/ref=zg_bs_boost_4,https://images-na.ssl-images-amazon.com/images/I/51l1YeFS6fL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01BYMTYBS/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,4484,$12.99
Amazon Launchpad,5.,Soylent Ready to Drink Food Original...,https://www.amazon.com/Soylent-Ready-Drink-Original-Bottles/dp/B01EUEIL3E/ref=zg_bs_boost_5,https://images-na.ssl-images-amazon.com/images/I/312%2BF%2BL-ZGL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01EUEIL3E/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.0 out of 5 stars,915,$34.00
Amazon Launchpad,6.,Tile Mate - Key Finder. Phone Finder....,https://www.amazon.com/Tile-Mate-Finder-Anything-Finder/dp/B01L3VEC08/ref=zg_bs_boost_6,https://images-na.ssl-images-amazon.com/images/I/41gvm-DlPxL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01L3VEC08/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.2 out of 5 stars,1365,$24.99
Amazon Launchpad,7.,iOttie Easy One Touch 3 (V2.0) Car Mo...,https://www.amazon.com/iOttie-Universal-Holder-Samsung-Packaging/dp/B01BZC262Q/ref=zg_bs_boost_7,https://images-na.ssl-images-amazon.com/images/I/41JCBMvXvYL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01BZC262Q/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.4 out of 5 stars,1991,$24.95
Amazon Launchpad,8.,Yeti Coolers Rambler Tumbler Silver...,https://www.amazon.com/Yeti-Coolers-Rambler-Tumbler-Silver/dp/B00JP9AJC6/ref=zg_bs_boost_8,https://images-na.ssl-images-amazon.com/images/I/419B5mDZDoL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B00JP9AJC6/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.4 out of 5 stars,2179,$27.98
Amazon Launchpad,9.,TubShroom The Revolutionary Tub Drain...,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/dp/B01BYRMGCC/ref=zg_bs_boost_9,https://images-na.ssl-images-amazon.com/images/I/51djKM1tgfL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01BYRMGCC/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.3 out of 5 stars,4484,$12.99
Amazon Launchpad,10.,Tile Mate Key Finder Phone Finder 4...,https://www.amazon.com/Tile-Mate-Finder-Phone-4-pack/dp/B01L3VEC94/ref=zg_bs_boost_10,https://images-na.ssl-images-amazon.com/images/I/41gvm-DlPxL._SL160_SL150_.jpg,https://www.amazon.com/product-reviews/B01L3VEC94/ref=acr_zeitgeist_text?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1,4.2 out of 5 stars,1365,$64.53
